日期,单位净值,累计净值,涨跌幅
2006-11-17,1.0,1.0,--
2006-11-22,1.004,1.004,0.4
2006-11-29,1.016,1.016,1.1952
2006-12-06,1.057,1.057,4.0354
2006-12-13,1.099,1.099,3.9735
2006-12-20,1.135,1.135,3.2757
2006-12-27,1.161,1.161,2.2907
2006-12-29,1.193,1.193,2.7562
2006-12-31,1.193,1.193,0
2007-01-04,1.193,1.193,0
2007-01-05,1.245,1.245,4.3588
2007-01-10,2.075,1.36,9.213
2007-01-11,2.018,1.322,-2.747
2007-01-12,1.923,1.26,-4.7076
2007-01-15,2.019,1.323,4.9922
2007-01-16,2.048,1.342,1.4364
2007-01-17,2.027,1.328,-1.0254
2007-01-18,2.0,1.311,-1.332
2007-01-19,2.045,1.34,2.25
2007-01-22,2.113,1.385,3.3252
2007-01-23,2.168,1.421,2.6029
2007-01-24,2.235,1.465,3.0904
2007-01-25,2.138,1.401,-4.34
2007-01-26,2.185,1.432,2.1983
2007-01-29,2.258,1.48,3.341
2007-01-30,2.273,1.489,0.6643
2007-01-31,2.117,1.387,-6.8632
2007-02-01,2.095,1.373,-1.0392
2007-02-02,2.001,1.311,-4.4869
2007-02-05,1.963,1.286,-1.8991
2007-02-06,1.993,1.306,1.5283
2007-02-07,2.043,1.339,2.5088
2007-02-08,2.077,1.361,1.6642
2007-02-09,2.037,1.335,-1.9259
2007-02-12,2.121,1.39,4.1237
2007-02-13,2.15,1.409,1.3673
2007-02-14,2.21,1.448,2.7907
2007-02-15,2.299,1.506,4.0271
2007-02-16,2.326,1.524,1.1744
2007-02-26,2.437,1.597,4.7721
2007-02-27,2.208,1.447,-9.3968
2007-02-28,2.315,1.517,4.846
2007-03-01,2.257,1.479,-2.5054
2007-03-02,2.277,1.492,0.8861
2007-03-05,2.24,1.468,-1.6249
2007-03-06,2.261,1.482,0.9375
2007-03-07,2.315,1.517,2.3883
2007-03-08,2.327,1.525,0.5184
2007-03-09,2.323,1.522,-0.1719
2007-03-12,2.339,1.533,0.6888
2007-03-13,2.35,1.54,0.4703
2007-03-14,2.286,1.498,-2.7234
2007-03-15,2.339,1.533,2.3185
2007-03-16,2.278,1.493,-2.608
2007-03-19,2.321,1.521,1.8876
2007-03-20,2.341,1.534,0.8617
2007-03-21,2.37,1.553,1.2388
2007-03-22,2.391,1.567,0.8861
2007-03-23,2.4,1.573,0.3764
2007-03-26,2.457,1.61,2.375
2007-03-27,2.47,1.619,0.5291
2007-03-28,2.494,1.634,0.9717
2007-03-29,2.467,1.617,-1.0826
2007-03-30,2.481,1.626,0.5675
2007-03-31,2.481,1.626,0
2007-04-02,2.562,1.679,3.2648
2007-04-03,2.591,1.698,1.1319
2007-04-04,2.598,1.702,0.2702
2007-04-05,2.622,1.718,0.9238
2007-04-06,2.647,1.735,0.9535
2007-04-09,2.724,1.785,2.909
2007-04-10,2.78,1.822,2.0558
2007-04-11,2.821,1.849,1.4748
2007-04-12,2.85,1.868,1.028
2007-04-13,2.833,1.856,-0.5965
2007-04-16,2.894,1.896,2.1532
2007-04-17,2.944,1.929,1.7277
2007-04-18,2.969,1.946,0.8492
2007-04-19,2.806,1.839,-5.4901
2007-04-20,2.933,1.922,4.526
2007-04-23,3.105,2.035,5.8643
2007-04-24,3.162,2.072,1.8357
2007-04-25,3.156,2.068,-0.1898
2007-04-26,3.196,2.094,1.2674
2007-04-27,3.183,2.086,-0.4068
2007-04-30,3.229,2.116,1.4452
2007-05-08,3.39,2.221,4.9861
2007-05-09,3.405,2.231,0.4425
2007-05-10,3.456,2.265,1.4978
2007-05-11,3.423,2.243,-0.9549
2007-05-14,3.461,2.268,1.1101
2007-05-15,3.321,2.176,-4.0451
2007-05-16,3.397,2.226,2.2885
2007-05-17,3.46,2.267,1.8546
2007-05-18,3.454,2.263,-0.1734
2007-05-21,3.495,2.29,1.187
2007-05-22,3.539,2.319,1.2589
2007-05-23,3.628,2.377,2.5148
2007-05-24,3.581,2.347,-1.2955
2007-05-25,3.603,2.361,0.6144
2007-05-28,3.687,2.416,2.3314
2007-05-29,3.777,2.475,2.441
2007-05-30,3.514,2.303,-6.9632
2007-05-31,3.545,2.323,0.8822
2007-06-01,3.379,2.214,-4.6827
2007-06-04,3.092,2.026,-8.4936
2007-06-05,3.219,2.109,4.1074
2007-06-06,3.226,2.114,0.2175
2007-06-07,3.344,2.191,3.6578
2007-06-08,3.348,2.194,0.1196
2007-06-11,3.406,2.232,1.7324
2007-06-12,3.55,2.326,4.2278
2007-06-13,3.62,2.372,1.9718
2007-06-14,3.541,2.32,-2.1823
2007-06-15,3.539,2.319,-0.0565
2007-06-18,3.634,2.381,2.6844
2007-06-19,3.671,2.406,1.0182
2007-06-20,3.593,2.354,-2.1248
2007-06-21,3.628,2.377,0.9741
2007-06-22,3.491,2.288,-3.7762
2007-06-25,3.303,2.164,-5.3853
2007-06-26,3.366,2.206,1.9074
2007-06-27,3.449,2.26,2.4658
2007-06-28,3.277,2.147,-4.987
2007-06-29,3.175,2.081,-3.1126
2007-06-30,3.175,2.081,0
2007-07-02,3.22,2.11,1.4173
2007-07-03,3.264,2.139,1.3665
2007-07-04,3.205,2.1,-1.8076
2007-07-05,2.998,1.965,-6.4587
2007-07-06,3.148,2.063,5.0033
2007-07-09,3.237,2.121,2.8272
2007-07-10,3.166,2.075,-2.1934
2007-07-11,3.199,2.096,1.0423
2007-07-12,3.22,2.11,0.6565
2007-07-13,3.216,2.107,-0.1242
2007-07-16,3.108,2.037,-3.3582
2007-07-17,3.169,2.077,1.9627
2007-07-18,3.199,2.096,0.9467
2007-07-19,3.162,2.072,-1.1566
2007-07-20,3.284,2.152,3.8583
2007-07-23,3.484,2.283,6.0901
2007-07-24,3.493,2.289,0.2583
2007-07-25,3.601,2.36,3.0919
2007-07-26,3.627,2.377,0.722
2007-07-27,3.668,2.404,1.1304
2007-07-30,3.775,2.474,2.9171
2007-07-31,3.807,2.495,0.8477
2007-08-01,3.663,2.4,-3.7825
2007-08-02,3.784,2.48,3.3033
2007-08-03,3.854,2.525,1.8499
2007-08-06,3.976,2.605,3.1655
2007-08-07,4.009,2.627,0.83
2007-08-08,3.928,2.574,-2.0205
2007-08-09,4.01,2.628,2.0876
2007-08-10,3.978,2.607,-0.798
2007-08-13,3.998,2.62,0.5028
2007-08-14,4.039,2.647,1.0255
2007-08-15,4.06,2.66,0.5199
2007-08-16,3.988,2.613,-1.7734
2007-08-17,3.921,2.569,-1.68
2007-08-20,4.175,2.736,6.4779
2007-08-21,4.218,2.764,1.0299
2007-08-22,4.234,2.774,0.3793
2007-08-23,4.285,2.808,1.2045
2007-08-24,4.409,2.889,2.8938
2007-08-27,4.469,2.928,1.3609
2007-08-28,4.473,2.931,0.0895
2007-08-29,4.383,2.872,-2.0121
2007-08-30,4.454,2.919,1.6199
2007-08-31,4.537,2.973,1.8635
2007-09-03,4.717,3.091,3.9674
2007-09-04,4.684,3.069,-0.6996
2007-09-05,4.703,3.082,0.4056
2007-09-06,4.798,3.144,2.02
2007-09-07,4.74,3.106,-1.2088
2007-09-10,4.826,3.162,1.8143
2007-09-11,4.57,2.995,-5.3046
2007-09-12,4.642,3.042,1.5755
2007-09-13,4.824,3.161,3.9207
2007-09-14,4.95,3.244,2.6119
